model_display,dataset,performance_group,rank_within_group,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,1,sample_029807,0.9384732842445374,0.9607545137405396,0.9244868159294128,0.0465904027223587
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,2,sample_029306,0.8855551481246948,0.931640923023224,0.8727213144302368,0.0682424157857894
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,3,sample_030962,0.8748999834060669,0.8871872425079346,0.8128902316093445,0.0385482087731361
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,4,sample_029656,0.8613908290863037,0.918163001537323,0.8487739562988281,0.0836103111505508
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,5,sample_032451,0.8593041300773621,0.9400513768196106,0.8868998289108276,0.1441315114498138
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,6,sample_030579,0.8513624668121338,0.9534226655960084,0.9110971689224244,0.1421112120151519
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,7,sample_028784,0.8510407209396362,0.9256287813186646,0.8616379499435425,0.1489406377077102
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,8,sample_026687,0.8422717452049255,0.9121440052986144,0.8391366600990295,0.0811170265078544
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,9,sample_034235,0.8304294347763062,0.928957223892212,0.8700447678565979,0.1277650296688079
multi-output BCE/MSE Loss small Dataset,Al_small_grains,best 10,10,sample_028953,0.822399377822876,0.8821784257888794,0.7937928438186646,0.0926951467990875
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,1,sample_033404,0.3325672745704651,0.3564691841602325,0.2616607844829559,0.1740294396877288
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,2,sample_026825,0.364368587732315,0.4451219439506531,0.4010989069938659,0.2911315262317657
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,3,sample_034354,0.3741983771324157,0.4590163826942444,0.4242424368858337,0.2826417684555053
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,4,sample_031633,0.3878474831581116,0.4595516622066498,0.4098356664180755,0.2448854446411132
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,5,sample_031517,0.3988195061683655,0.3810741603374481,0.3078512251377105,0.2145619094371795
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,6,sample_033488,0.3990662097930908,0.3774856925010681,0.2973324656486511,0.2557314932346344
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,7,sample_026683,0.4043797850608825,0.3938679099082947,0.3096154034137726,0.2811684310436249
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,8,sample_028565,0.4066029489040375,0.4316831827163696,0.3797909319400787,0.2105952203273773
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,9,sample_028914,0.4124482870101928,0.3764367699623108,0.3018433153629303,0.2885201275348663
multi-output BCE/MSE Loss small Dataset,Al_small_grains,worst 10,10,sample_035053,0.4134600162506103,0.4967042207717895,0.3939466476440429,0.2170548886060714
multi-output BCE/MSE Loss small Dataset,Cu,best 10,1,sample_042391,0.8879574537277222,0.960544228553772,0.9242672324180604,0.1180438473820686
multi-output BCE/MSE Loss small Dataset,Cu,best 10,2,sample_040988,0.8305872678756714,0.905509352684021,0.8273357152938843,0.119128406047821
multi-output BCE/MSE Loss small Dataset,Cu,best 10,3,sample_040148,0.8250682353973389,0.866924524307251,0.779897928237915,0.0960704088211059
multi-output BCE/MSE Loss small Dataset,Cu,best 10,4,sample_040400,0.8053876161575317,0.901686668395996,0.8220657110214233,0.0608229488134384
multi-output BCE/MSE Loss small Dataset,Cu,best 10,5,sample_037993,0.7803988456726074,0.8267128467559814,0.7222980260848999,0.0859844908118248
multi-output BCE/MSE Loss small Dataset,Cu,best 10,6,sample_036343,0.7701666951179504,0.8938174843788147,0.813340425491333,0.1522254943847656
multi-output BCE/MSE Loss small Dataset,Cu,best 10,7,sample_041274,0.7701222896575928,0.8439972400665283,0.7383772134780884,0.1402174085378646
multi-output BCE/MSE Loss small Dataset,Cu,best 10,8,sample_040162,0.756279706954956,0.7916561365127563,0.6785127520561218,0.0902935117483139
multi-output BCE/MSE Loss small Dataset,Cu,best 10,9,sample_039796,0.7463529706001282,0.7874564528465271,0.6706475019454956,0.0562678128480911
multi-output BCE/MSE Loss small Dataset,Cu,best 10,10,sample_041794,0.7378526926040649,0.8706841468811035,0.7826278805732727,0.0817754566669464
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,1,sample_044105,0.2711609303951263,0.2823858261108398,0.1967532485723495,0.1125607118010521
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,2,sample_038443,0.3431929349899292,0.3789198398590088,0.2890955209732055,0.2052616477012634
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,3,sample_036185,0.3704680800437927,0.392307698726654,0.322784811258316,0.1891531646251678
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,4,sample_042230,0.3721392154693603,0.4138817489147186,0.3530701696872711,0.2644333839416504
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,5,sample_039918,0.3723234534263611,0.4193548262119293,0.3611111044883728,0.278005987405777
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,6,sample_044277,0.3749630749225616,0.3905109465122223,0.3203592896461487,0.2683486044406891
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,7,sample_043186,0.3750306069850921,0.4300588071346283,0.358452558517456,0.244370698928833
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,8,sample_037631,0.3769916594028473,0.4530830979347229,0.4142156839370727,0.264948695898056
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,9,sample_043549,0.3810808956623077,0.3470149338245392,0.2657142877578735,0.1991394013166427
multi-output BCE/MSE Loss small Dataset,Cu,worst 10,10,sample_043866,0.3843252658843994,0.3841269910335541,0.311855673789978,0.3120595514774322
multi-output BCE/MSE Loss small Dataset,IN718_twins,best 10,1,sample_051181,0.983104944229126,0.996223211288452,0.9924753904342652,0.0231781434267759
