model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10,soft_intensity_dice_mean,soft_intensity_dice_whole_mean
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Al_deformed_LoG,576,0.9485653817860616,0.9045640080132418,0.04354454892988239,0.004959328296334004,0.12998164959329492,0.1377676827558187,0.1406264831214988,0.05910909936716911,0.952510417956445,0.9119736552238464,0.984329973657926,0.9822090053930879
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Al_small_grains,552,0.9457061094218406,0.9010530375484107,0.04062877091253514,0.005132420324208805,0.13032284479561276,0.14133550184171484,0.13388694637198595,0.06144020128255985,0.9525386699731799,0.9258826076984406,0.9819410286735797,0.9788981946050257
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Al_big_grains,552,0.9025580884645814,0.8509045700016229,0.04143657992086525,0.014622088456762604,0.20850667148529875,0.31244684824976476,0.20962951340260444,0.11316337418954218,0.9305607538292373,0.841495406627655,0.9346670617983825,0.9199795014076475
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Iron_deformed,557,0.8974518812858437,0.8300031807200057,0.06922411209363591,0.009491717045082957,0.23152171035215285,0.2616559954885146,0.23907115725094796,0.13131002596031066,0.9141138856244044,0.8343133687973022,0.9412635096634739,0.9314464636722202
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Cu,571,0.8956334993843439,0.8208241212180116,0.08111145037622722,0.007413354481492133,0.2855281974131897,0.3256289825274001,0.3061037266499733,0.17516942272425975,0.907261025675959,0.8251766562461853,0.9304042959589048,0.9198329626156863
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Iron,536,0.8933307857099754,0.831246970582809,0.05853391958508335,0.009594205680473554,0.24490144240336298,0.29414139864549266,0.2505457658883629,0.1485622453945515,0.9173984312966689,0.8057746589183807,0.917216767292859,0.9062425241207899
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Ti7Al,580,0.8546136126949869,0.7880795502457125,0.057844340795117175,0.018626017316248557,0.3057967386164317,1.4178541891437408,0.3071286337931865,0.1945345522103237,0.8983846350990493,0.7642495036125183,0.8719923940712008,0.8561654765544267
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.9898370998517182,0.9807064157594032,0.02059903614515546,0.01243445008278456,0.05730651897446773,0.06514090070756481,0.057312854062062255,0.022444754086294125,0.984619032673049,0.9749520778656006,0.9960444763924919,0.9942417372292126
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.9792577422518173,0.961837199033867,0.023645455215977957,0.007235683587316365,0.07923205386372657,0.0835864038838896,0.0793474871522209,0.033751412421581944,0.9778061416552745,0.9669866561889648,0.9911046074947137,0.9900186591331456
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.9514442294215163,0.9100183175048895,0.04358487144862819,0.004966129422326857,0.12959417788079008,0.1362116030520863,0.1407655466787724,0.06528958184612242,0.9539296791578332,0.9137534499168396,0.9827657129822506,0.9810523640157448
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9482571827112765,0.9053235545862413,0.040242048424999295,0.005067165114071585,0.13212196221507655,0.14178756989228228,0.1360819673071197,0.0644073909480948,0.9540075675948806,0.9235124945640564,0.9815420139095058,0.9790147318896176
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.8915614524363636,0.8172477425292995,0.08124073919548201,0.007540924823435183,0.2819482533297063,0.33434386273451316,0.30308605646698256,0.17417649908689375,0.905160354753718,0.8205119967460632,0.9278640563350217,0.9133418914837511
